zip_code,total_returns,adj_gross_inc,business_returns,business_income,farming_return,unemp_returns,unemp_comp,ssn_returns,ssn_benefits,student_loans,student_loan_deduction,real_estate_returns,real_estate_taxes,child_credits,child_credit_amt,earned_inc_ret,earned_inc_tax
50001,310,23171,40,631,40,50,366,70,944,20,5,0,0,80,236,40,76
50002,620,39407,100,1237,100,130,1163,130,1751,60,38,0,0,140,338,90,205
50003,4310,463694,760,8747,190,650,6730,720,12918,570,445,450,2409,1430,4504,310,598
50005,330,16634,40,172,20,70,554,70,844,0,0,0,0,80,191,40,92
50006,740,45325,110,1050,90,80,902,130,1753,70,44,0,0,210,513,90,183
50007,250,24489,40,209,0,40,394,50,950,0,0,20,177,60,168,0,0
50008,350,16269,70,346,80,50,614,50,519,0,0,0,0,100,240,60,162
50009,10590,793585,1310,14559,80,2010,20477,1800,29229,1190,896,790,4023,3030,8066,1000,2142
50010,14090,1036620,1840,22089,160,1890,18684,2810,54358,1510,1124,1110,6277,2590,6638,1210,2245
50014,11300,872772,1410,17828,150,1490,14618,1510,32224,1260,920,890,5789,2000,5492,860,1514
50020,660,39860,110,936,90,80,700,140,2110,40,18,0,0,150,333,80,177
50021,14530,1349624,2010,27253,130,2250,23267,2310,41602,1850,1390,1440,10120,4000,11194,1060,2260
50022,3750,233949,540,5710,210,530,4819,810,12422,280,204,150,633,860,2019,640,1480
50023,21020,1941918,2980,42719,140,3340,34396,2840,50767,3010,2328,2180,13615,6610,19748,1230,2369
50025,1380,95981,240,2756,210,150,1318,330,4682,140,94,40,135,310,775,170,417
50026,230,11690,30,-11,40,40,361,50,836,0,0,0,0,50,115,30,64
50027,130,6117,0,0,0,30,285,30,355,0,0,0,0,20,50,0,0
50028,750,50747,110,1117,70,140,1263,120,1870,80,66,20,91,230,619,70,150
50029,270,12771,50,117,40,40,465,60,613,0,0,0,0,50,130,40,125
50034,180,11888,30,226,30,0,0,50,792,0,0,0,0,50,124,0,0
50035,4040,367188,620,6095,70,710,6884,390,6536,660,517,330,1639,1700,5284,280,639
50036,7940,516111,980,10133,260,1180,10826,1620,24772,800,520,370,1822,1940,4878,890,1848
50039,170,11125,20,92,0,30,275,40,548,0,0,0,0,60,122,0,0
50042,130,7154,20,86,30,20,191,20,247,0,0,0,0,20,51,20,43
50044,410,22805,40,141,50,120,820,80,918,20,10,0,0,100,221,70,164
50046,730,61779,120,1634,60,120,1016,130,2386,80,49,40,292,220,676,40,95
50047,2870,218491,440,4760,90,530,5359,490,8059,310,267,180,898,930,2555,270,598
50048,430,22698,70,625,70,70,556,80,975,30,13,0,0,80,188,60,130
50049,2920,160655,450,6015,320,400,3999,550,7546,220,142,60,235,690,1626,440,1075
50050,300,18118,30,138,70,40,436,80,1053,0,0,0,0,70,217,30,103
50051,120,7268,0,0,20,20,206,30,413,0,0,0,0,30,67,0,0
50054,1630,101170,200,1670,80,310,2878,280,3704,150,132,40,158,420,1094,180,414
50055,460,28866,50,306,50,100,805,80,1069,40,27,0,0,140,372,50,99
50056,670,43946,90,659,40,110,1026,110,1843,80,47,0,0,160,419,70,133
50058,880,56325,190,1711,140,130,1410,160,2413,70,56,0,0,200,558,120,268
50060,1090,65180,180,3189,200,130,1286,220,3099,80,39,30,80,260,647,160,353
50061,930,158742,210,4756,60,140,1334,200,4113,50,35,200,1838,280,876,40,75
50062,300,17509,0,0,30,80,558,50,679,20,8,0,0,80,223,40,77
50063,1340,118075,220,2333,90,190,1871,250,4189,140,121,130,674,360,1040,90,183
50065,190,7555,30,353,50,20,225,40,385,0,0,0,0,40,88,40,79
50066,120,6345,0,0,0,0,0,0,0,0,0,0,0,30,69,0,0
50067,110,5491,0,0,30,0,0,0,0,0,0,0,0,30,79,20,71
50068,160,7082,30,170,40,20,310,30,434,0,0,0,0,30,55,20,55
50069,490,32115,70,619,0,110,1072,80,1215,60,42,20,116,150,351,70,152
50070,730,52986,120,941,60,150,1434,140,2094,80,46,20,127,190,536,70,170
50071,430,24399,50,767,50,60,532,110,1587,30,17,0,0,90,191,60,148
50072,1250,125522,210,2522,120,190,1617,220,3417,140,115,100,498,420,1216,90,206
50073,740,59955,110,1212,40,110,1038,100,1783,120,78,70,290,230,624,60,128
50074,160,17458,0,0,40,0,0,70,1497,0,0,0,0,0,0,0,0
50075,390,25719,60,215,50,60,498,80,1140,30,10,0,0,100,276,40,98
50076,660,40549,90,637,120,90,803,160,2091,50,26,0,0,130,318,100,221
50103,180,9607,0,0,50,30,308,30,362,0,0,0,0,40,70,30,71
50105,600,55057,110,559,0,100,786,80,1385,70,54,50,224,210,626,60,104
50106,520,28959,50,233,60,90,701,130,1766,40,19,0,0,120,294,60,121
50107,430,22730,60,320,50,80,837,80,1275,0,0,0,0,90,195,80,179
50108,190,8135,0,0,60,20,234,40,482,0,0,0,0,20,44,40,105
50109,1650,176682,250,5002,40,240,2396,220,4046,230,160,190,1385,610,1829,100,184
50111,8280,764369,1170,15470,70,1370,13971,860,13969,1200,875,800,5659,2800,7888,690,1467
50112,4970,350488,670,5227,220,870,7495,1060,17678,450,330,300,1258,1150,2855,570,1184
50115,1260,80419,230,1792,200,140,1343,270,3941,120,80,40,133,310,741,160,318
50116,120,7233,0,0,0,40,210,30,367,0,0,0,0,30,61,0,0
50118,420,25883,60,170,0,80,930,70,940,30,14,0,0,130,340,40,123
50119,220,11773,20,102,20,70,417,40,466,0,0,0,0,60,152,30,57
50120,160,10665,20,86,0,40,358,0,0,0,0,0,0,40,92,0,0
50122,640,45075,110,1011,110,50,410,140,2294,50,34,20,53,160,455,50,108
50123,370,20816,50,375,70,60,620,90,1259,20,16,0,0,70,185,50,117
50124,2220,188925,350,4143,70,310,3013,350,6056,300,225,210,1153,770,2367,170,343
50125,9530,716551,1300,16903,360,1570,14914,1900,31781,1020,798,700,3661,2630,7146,940,1898
50126,3090,196451,410,6647,160,420,4099,650,9809,260,157,130,612,700,1645,420,870
50128,160,9774,0,0,20,30,223,40,625,0,0,0,0,30,92,0,0
50129,2380,149590,370,4242,190,380,3833,560,8565,200,122,100,393,550,1274,330,800
50130,790,55957,130,1696,60,120,1065,140,2171,70,46,20,93,220,521,90,217
50131,11550,1409967,1720,32431,70,1600,17783,1800,34091,1090,771,1490,12587,3480,9672,820,1876
50132,150,8601,30,45,30,30,227,20,312,0,0,0,0,40,107,0,0
50133,210,9395,40,139,60,30,448,40,570,0,0,0,0,60,116,40,115
50134,330,26475,60,448,0,50,401,50,1032,30,28,30,108,70,215,20,43
50135,760,48864,90,886,70,170,1288,170,2681,50,21,20,63,170,409,70,140
50136,170,9547,20,116,40,40,376,40,602,0,0,0,0,50,119,20,30
50138,5380,321862,650,5509,230,1320,9458,1090,14864,490,327,190,736,1330,3203,710,1602
50139,550,32847,90,574,120,90,818,110,1535,40,35,0,0,150,423,50,101
50140,860,44208,140,866,110,130,1371,150,2236,90,69,30,94,190,411,160,371
50141,240,14315,40,122,20,30,272,70,898,0,0,0,0,50,128,20,37
50143,280,21545,40,172,50,60,469,50,769,0,0,0,0,80,239,0,0
50144,1190,64005,200,1897,220,160,1721,220,3100,100,58,30,113,300,712,250,596
50146,230,14194,40,223,30,50,445,40,637,0,0,0,0,60,148,30,53
50147,170,8987,30,96,40,0,0,30,401,0,0,0,0,30,69,30,38
50148,170,10234,20,49,20,30,341,40,532,0,0,0,0,40,110,20,48
50149,400,22016,80,1510,100,80,758,60,724,20,16,0,0,110,269,60,168
50150,370,19284,40,81,60,100,620,70,612,20,12,0,0,110,318,50,84
50151,340,20795,80,795,60,50,601,70,1084,0,0,0,0,80,204,40,60
50153,360,28119,50,194,60,70,496,60,1029,30,24,0,0,100,289,0,0
50154,250,16488,20,110,20,30,291,40,566,30,11,0,0,70,187,0,0
50155,120,5314,0,0,0,0,0,20,334,0,0,0,0,20,40,0,0
50156,2160,159285,300,2628,100,330,3086,430,6620,230,201,120,574,610,1613,170,353
50157,330,19874,40,62,60,60,561,60,819,0,0,0,0,80,185,30,52
50158,14050,818217,1320,14089,220,2890,25232,2510,38515,820,571,480,2272,3810,9194,2300,5383
50161,980,68598,150,1285,90,160,1426,150,2349,120,90,50,154,260,713,90,158
50162,540,33509,70,440,50,90,632,90,1252,50,29,0,0,160,452,60,110
50164,280,16022,50,144,40,50,608,60,706,0,0,0,0,70,192,40,86
50166,690,45994,110,1248,90,130,1332,120,1517,80,53,0,0,210,562,60,137
50167,360,23572,60,254,40,50,486,70,1091,40,27,0,0,100,282,30,53
50168,410,30768,80,372,40,70,804,70,1260,40,20,20,98,110,303,40,55
50169,1290,92267,160,1530,50,260,2745,230,3472,110,70,70,353,350,853,110,248
50170,1400,98205,180,1567,110,330,2586,270,3983,140,97,70,254,390,1035,150,295
50171,1300,99258,200,1962,140,240,2066,320,5341,110,71,60,291,290,660,150,376
50173,340,17018,50,78,30,70,669,50,761,0,0,0,0,60,168,30,58
50174,560,31904,60,131,100,120,1092,90,1098,30,16,0,0,150,347,70,176
50201,4000,286610,510,6194,140,680,6320,750,12164,460,326,220,1137,1030,2657,410,831
50206,200,12802,30,106,40,30,304,50,869,0,0,0,0,60,152,20,51
50207,1070,69483,160,1293,150,230,1638,200,3110,130,74,40,113,320,874,110,237
50208,9210,540499,970,7703,200,1810,16836,1810,26526,710,510,370,1626,2150,4951,1370,3033
50210,830,61039,140,1925,150,130,1422,200,2562,60,46,40,210,230,648,60,156
50211,7450,682508,1030,13581,140,1190,12976,1120,20119,990,769,850,5113,2460,6939,560,1148
50212,1450,95554,240,1378,100,190,1799,310,4604,130,83,50,175,390,1021,130,304
50213,3330,176078,400,4592,270,550,5614,520,6937,230,137,90,329,890,2128,540,1248
50214,410,34439,60,228,40,110,754,50,958,40,33,30,116,120,347,0,0
50216,1360,149060,280,3908,110,190,1966,380,7352,80,59,130,911,320,764,120,209
50217,260,18116,30,61,50,40,286,50,818,20,11,0,0,60,142,30,57
50219,6230,576234,970,10870,280,1500,9504,1330,23534,680,540,700,3812,1710,5453,420,830
50220,4180,224527,470,2983,100,630,5847,560,8383,260,202,120,474,1190,2820,690,1601
50222,220,15090,30,153,60,40,285,40,527,0,0,0,0,50,166,0,0
50223,150,9246,0,0,30,20,260,30,446,0,0,0,0,30,57,0,0
50225,1400,97807,220,2100,140,290,2204,250,3357,180,131,60,241,420,1151,150,319
50226,3160,365026,540,6631,60,450,4441,470,8915,360,262,400,2984,1170,3906,130,260
50228,1130,84819,180,2010,90,220,1983,210,3371,130,96,40,151,350,1026,90,204
50229,560,61823,120,2665,90,70,808,100,1458,30,16,70,371,150,413,30,62
50230,500,34100,80,693,80,60,549,80,1260,40,31,0,0,120,341,40,88
50232,230,17416,30,266,30,50,390,50,741,0,0,0,0,60,160,20,53
