,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1,856,126000,30,RL,68.51605288007555,7890,Pave,N_A,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,238.0,1,0.0,618.0,856.0,GasA,2,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,1,3,4,7,1,4,Detchd,1939.0,Unf,2.0,399.0,3,3,Y,0,0,0,0,166,0,0,0,N_A,0,3,2010,WD ,Normal
2,1049,139500,120,RL,42.0,4235,Pave,N_A,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,4,3,CBlock,4,3,2,6,552.0,5,393.0,104.0,1049.0,GasA,2,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,4,5,7,0,0,Attchd,1984.0,Fin,1.0,266.0,3,3,Y,0,105,0,0,0,0,0,0,N_A,0,2,2009,WD ,Normal
3,1001,124900,30,C (all),60.0,6060,Pave,N_A,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,4,3,BrkTil,3,3,1,5,737.0,1,0.0,100.0,837.0,GasA,4,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,4,5,7,0,0,Detchd,1930.0,Unf,1.0,216.0,3,1,N,154,0,42,86,0,0,0,0,N_A,0,11,2007,WD ,Normal
4,1039,114000,70,RL,80.0,8146,Pave,N_A,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,BrkTil,2,3,1,1,0.0,1,0.0,405.0,405.0,GasA,3,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,1,3,6,7,0,0,Detchd,1940.0,Unf,1.0,281.0,3,3,N,0,0,168,0,111,0,0,0,N_A,0,5,2009,WD ,Normal
5,1665,227000,60,RL,70.0,8400,Pave,N_A,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,643.0,1,0.0,167.0,810.0,GasA,4,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,1,4,6,7,0,0,Attchd,2001.0,Fin,2.0,528.0,3,3,Y,0,45,0,0,0,0,0,0,N_A,0,11,2009,WD ,Normal
6,1922,198500,85,RL,64.0,7301,Pave,N_A,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,4,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,4,Y,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,4,7,7,1,5,BuiltIn,2003.0,RFn,2.0,672.0,3,3,Y,0,0,177,0,0,0,0,0,N_A,0,7,2009,ConLD,Normal
7,936,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,2,3,1,1,0.0,1,0.0,936.0,936.0,GasA,2,N,SBrkr,936,0,0,0.0,0.0,1,0,2,1,3,4,5,0,0,Detchd,1974.0,Unf,2.0,576.0,3,3,Y,0,32,112,0,0,0,0,0,N_A,0,2,2009,WD ,Normal
8,1246,187687,20,RL,53.0,3710,Pave,N_A,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,4,3,PConc,4,3,4,1,0.0,1,0.0,1146.0,1146.0,GasA,4,Y,SBrkr,1246,0,0,0.0,0.0,2,0,2,1,4,5,7,1,4,Attchd,2007.0,Fin,2.0,428.0,3,3,Y,100,24,0,0,0,0,0,0,N_A,0,3,2008,New,Partial
9,889,137500,20,RL,74.0,12395,Pave,N_A,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,647.0,1,0.0,217.0,864.0,GasA,2,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,1,3,6,7,0,0,Attchd,1984.0,Unf,2.0,484.0,3,3,Y,0,0,0,0,0,0,0,0,N_A,0,4,2008,WD ,Normal
10,1072,140000,180,RM,35.0,3675,Pave,N_A,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,3,3,PConc,4,3,4,6,467.0,1,0.0,80.0,547.0,GasA,4,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,4,5,7,0,0,Basment,2005.0,Fin,2.0,525.0,3,3,Y,0,44,0,0,0,0,0,0,N_A,0,5,2007,WD ,Normal
