,long,lat,address,neighborhood
0,-93.6179216,42.0539136,"3126 Northwood Dr, Ames, IA 50010, USA",NAmes
1,-93.6184182,42.053473,"3115 Northwood Dr, Ames, IA 50010, USA",NAmes
2,-93.6182394,42.053309,"3113 Northwood Dr, Ames, IA 50010, USA",NAmes
3,-93.618911,42.0530329,"623 River Oak Dr, Ames, IA 50010, USA",NAmes
4,-93.6193067,42.0530977,"627 River Oak Dr, Ames, IA 50010, USA",NAmes
5,-93.6199795,42.052922,"3109 Grove Ave, Ames, IA 50010, USA",NAmes
6,-93.6194254,42.0526692,"630 River Oak Dr, Ames, IA 50010, USA",NAmes
7,-93.6188318,42.0525334,"620 River Oak Dr, Ames, IA 50010, USA",NAmes
8,-93.6193468,42.0519173,"3010 Grove Ave, Ames, IA 50010, USA",NAmes
9,-93.6181986,42.0516651,"3006 Kellogg Ave, Ames, IA 50010, USA",NAmes
10,-93.6182382,42.05193420000001,"3010 Kellogg Ave, Ames, IA 50010, USA",NAmes
11,-93.61699159999999,42.051452,"3004 Northwood Dr, Ames, IA 50010, USA",NAmes
12,-93.61631729999999,42.0514622,"2907 Duff Ave, Ames, IA 50010, USA",NAmes
13,-93.6177039,42.0509662,"2919 Northwood Dr, Ames, IA 50010, USA",NAmes
14,-93.61764459999999,42.0497902,"2811 Northwood Dr, Ames, IA 50010, USA",NAmes
15,-93.6152504,42.0494986,"2802 Thompson Dr, Ames, IA 50010, USA",NAmes
16,-93.6170707,42.0501365,"2820 Northwood Dr, Ames, IA 50010, USA",NAmes
17,-93.6170707,42.0506772,"2910 Northwood Dr, Ames, IA 50010, USA",NAmes
18,-93.63925669999999,42.0612335,"4025 Berkshire Ave, Ames, IA 50010, USA",Gilbert
19,-93.63915779999999,42.0608698,"4011 Berkshire Ave, Ames, IA 50010, USA",Gilbert
20,-93.6391776,42.0605024,"3913 Berkshire Ave, Ames, IA 50010, USA",Gilbert
21,-93.6392369,42.0603268,"3907 Berkshire Ave, Ames, IA 50010, USA",Gilbert
22,-93.6392963,42.0600353,"2209 Stone Brooke Rd, Ames, IA 50010, USA",Gilbert
23,-93.640009,42.0610552,"4006 Hyde Ave, Ames, IA 50010, USA",Gilbert
24,-93.6399415,42.0612808,"4012 Hyde Ave, Ames, IA 50010, USA",Gilbert
25,-93.6381086,42.06146280000001,"4033 Eisenhower Ave, Ames, IA 50010, USA",Gilbert
26,-93.63795019999999,42.0607343,"4009 Eisenhower Ave, Ames, IA 50010, USA",Gilbert
27,-93.6385837,42.0607914,"4008 Berkshire Ave, Ames, IA 50010, USA",Gilbert
28,-93.6386035,42.0609646,"4014 Berkshire Ave, Ames, IA 50010, USA",Gilbert
29,-93.63729269999999,42.0598611,"3902 Eisenhower Ave, Ames, IA 50010, USA",Gilbert
30,-93.6372772,42.0600992,"3908 Eisenhower Ave, Ames, IA 50010, USA",Gilbert
31,-93.6372772,42.0603308,"3914 Eisenhower Ave, Ames, IA 50010, USA",Gilbert
32,-93.6368813,42.0604206,"1910 Wyngate Dr, Ames, IA 50010, USA",Gilbert
33,-93.6358736,42.06079270000001,"1936 Wyngate Dr, Ames, IA 50010, USA",Gilbert
34,-93.6355353,42.0612353,"1948 Wyngate Dr, Ames, IA 50010, USA",Gilbert
35,-93.63549569999999,42.061391,"1952 Wyngate Dr, Ames, IA 50010, USA",Gilbert
36,-93.63694799999999,42.0623,"2023 Wyngate Dr, Ames, IA 50010, USA",Gilbert
37,-93.6373168,42.0617581,"2035 Wyngate Dr, Ames, IA 50010, USA",Gilbert
38,-93.63620829999999,42.0627198,"4313 Harrison Cir, Ames, IA 50010, USA",Gilbert
39,-93.6359708,42.0626501,"4309 Harrison Cir, Ames, IA 50010, USA",Gilbert
40,-93.63541649999999,42.062822,"4301 Harrison Cir, Ames, IA 50010, USA",Gilbert
41,-93.63543630000001,42.0630724,"4302 Harrison Cir, Ames, IA 50010, USA",Gilbert
42,-93.6360895,42.0632255,"4316 Harrison Cir, Ames, IA 50010, USA",Gilbert
43,-93.63711889999999,42.0607992,"1909 Wyngate Dr, Ames, IA 50010, USA",Gilbert
44,-93.63620829999999,42.061716,"2006 Wyngate Dr, Ames, IA 50010, USA",Gilbert
45,-93.6370397,42.0613808,"2036 Wyngate Dr, Ames, IA 50010, USA",Gilbert
46,-93.63723759999999,42.0612973,"2040 Wyngate Dr, Ames, IA 50010, USA",Gilbert
47,-93.6346389,42.0631505,"4321 Stone Brooke Rd, Ames, IA 50010, USA",StoneBr
48,-93.632615,42.0630499,"1801 Waterbury Cir, Ames, IA 50010, USA",StoneBr
49,-93.63306109999999,42.0626069,"1814 Waterbury Cir, Ames, IA 50010, USA",StoneBr
50,-93.6332869,42.0626274,"1818 Waterbury Cir, Ames, IA 50010, USA",StoneBr
51,-93.6344654,42.06215660000001,"4239 Stone Brooke Rd, Ames, IA 50010, USA",StoneBr
52,-93.6337511,42.0614126,"4207 Stone Brooke Rd, Ames, IA 50010, USA",StoneBr
53,-93.6331359,42.0616553,"4202 Stone Brooke Rd, Ames, IA 50010, USA",StoneBr
54,-93.6341893,42.0609303,"4029 Fletcher Blvd, Ames, IA 50010, USA",StoneBr
55,-93.63369639999999,42.0605072,"4024 Fletcher Blvd, Ames, IA 50010, USA",StoneBr
56,-93.63191309999999,42.0307812,"Ames, IA, USA",StoneBr
57,-93.63324589999999,42.0610224,"4139 Stone Brooke Rd, Ames, IA 50010, USA",StoneBr
