,SalePrice
1,126000
2,139500
3,124900
4,114000
5,227000
6,198500
7,93000
8,187687
9,137500
10,140000
11,219500
12,136000
13,80000
14,159000
15,214000
16,163000
17,203000
18,67000
19,205000
20,131250
21,181000
22,115000
23,98000
24,265979
25,105500
26,168165
27,201000
28,177500
29,200000
30,450000
31,91300
32,173500
33,199500
34,207000
35,155000
36,220000
37,196000
38,61500
39,195000
40,129250
41,291000
42,134000
43,186000
44,133500
45,148000
46,325300
47,215000
48,131000
49,109500
50,110000
51,150000
52,193800
53,178000
54,179600
55,179000
56,140000
57,395000
58,151500
59,341000
60,235000
61,72000
62,154000
63,222000
64,390000
65,128200
66,615000
67,158000
68,254000
69,169000
70,284500
71,184500
72,210400
73,214000
74,392500
75,274725
76,156932
77,282922
78,144000
79,88000
80,67500
81,148000
82,159000
83,120000
84,134900
85,185000
86,132500
87,160500
88,165000
89,100000
90,189900
91,227875
92,111900
93,145000
94,118000
95,166000
96,148000
97,99000
98,86000
99,165000
100,211500
101,210000
102,228500
103,132000
104,468000
105,240000
106,151500
107,73000
108,75500
109,500067
110,330000
111,107500
112,172500
113,185000
114,311872
115,165150
116,125000
117,159500
118,180500
119,160000
120,109008
121,153000
122,132250
123,184900
124,127000
125,475000
126,142000
127,112000
128,80900
129,135000
130,193500
131,232500
132,114000
133,257000
134,117000
135,213000
136,212000
137,202500
138,185101
139,167000
140,138500
141,102000
142,198900
143,145000
144,220000
145,126000
146,200000
147,278000
148,145000
149,318000
150,146500
151,86900
152,213000
153,262000
154,217500
155,148000
156,113000
157,160500
158,145000
159,245500
160,133500
161,198000
162,205000
163,285000
164,175000
165,160000
166,272000
167,115000
168,134000
169,78000
170,111500
171,142900
172,125500
173,125500
174,423000
175,119900
176,247000
177,226500
178,260400
179,135000
180,175900
181,82500
182,79500
183,207500
184,115000
185,249700
186,164000
187,220000
188,135000
189,133700
190,112500
191,150000
192,99000
193,146300
194,155000
195,298751
196,256000
197,176000
198,120000
199,321000
200,190000
201,174900
202,85000
203,164990
204,144100
205,294900
206,50000
207,260000
208,180000
209,236500
210,63900
211,223000
212,151000
213,149500
214,149900
215,500000
216,92900
217,290000
218,345474
219,127000
220,102000
221,190000
222,75200
223,108538
224,142250
225,180000
226,132000
227,152400
228,64000
229,302000
230,182000
231,137000
232,168000
233,97500
234,286000
235,115000
236,209000
237,187500
238,220000
239,91000
240,93500
241,79400
242,259500
243,417500
244,132000
245,342000
246,194000
247,235000
248,136870
249,147000
250,277000
251,201490
252,85000
253,149900
254,174500
255,133900
256,173000
257,225000
258,109500
259,159000
260,179400
261,219000
262,175500
263,261329
264,383000
265,179000
266,103500
267,164500
268,55000
269,170000
270,209500
271,124500
272,139400
273,202665
274,155891
275,160000
276,150000
277,221300
278,361919
279,134900
